d,c,a
http://yago-knowledge.org/resource/Paul_Kagame,http://yago-knowledge.org/resource/Jeannette_Kagame,http://yago-knowledge.org/resource/Rwanda
http://yago-knowledge.org/resource/Ilham_Aliyev,http://yago-knowledge.org/resource/Mehriban_Aliyeva,http://yago-knowledge.org/resource/Azerbaijan
http://yago-knowledge.org/resource/Hifikepunye_Pohamba,http://yago-knowledge.org/resource/Penehupifo_Pohamba,http://yago-knowledge.org/resource/Namibia
http://yago-knowledge.org/resource/Susilo_Bambang_Yudhoyono,http://yago-knowledge.org/resource/Kristiani_Herawati,http://yago-knowledge.org/resource/Indonesia
http://yago-knowledge.org/resource/Xi_Jinping,http://yago-knowledge.org/resource/Peng_Liyuan,http://yago-knowledge.org/resource/China
http://yago-knowledge.org/resource/Blaise_Compaoré,http://yago-knowledge.org/resource/Chantal_Compaoré,http://yago-knowledge.org/resource/Burkina_Faso
http://yago-knowledge.org/resource/Barack_Obama,http://yago-knowledge.org/resource/Michelle_Obama,http://yago-knowledge.org/resource/United_States_Virgin_Islands
http://yago-knowledge.org/resource/Barack_Obama,http://yago-knowledge.org/resource/Michelle_Obama,http://yago-knowledge.org/resource/Northern_Mariana_Islands
http://yago-knowledge.org/resource/Barack_Obama,http://yago-knowledge.org/resource/Michelle_Obama,http://yago-knowledge.org/resource/United_States_Minor_Outlying_Islands
http://yago-knowledge.org/resource/Barack_Obama,http://yago-knowledge.org/resource/Michelle_Obama,http://yago-knowledge.org/resource/Guam
http://yago-knowledge.org/resource/Barack_Obama,http://yago-knowledge.org/resource/Michelle_Obama,http://yago-knowledge.org/resource/United_States
http://yago-knowledge.org/resource/Barack_Obama,http://yago-knowledge.org/resource/Michelle_Obama,http://yago-knowledge.org/resource/Puerto_Rico
http://yago-knowledge.org/resource/Barack_Obama,http://yago-knowledge.org/resource/Michelle_Obama,http://yago-knowledge.org/resource/American_Samoa
http://yago-knowledge.org/resource/Yoweri_Museveni,http://yago-knowledge.org/resource/Janet_Museveni,http://yago-knowledge.org/resource/Uganda
http://yago-knowledge.org/resource/Dmitry_Medvedev,http://yago-knowledge.org/resource/Svetlana_Medvedeva,http://yago-knowledge.org/resource/Russia
http://yago-knowledge.org/resource/Bashar_al-Assad,http://yago-knowledge.org/resource/Asma_al-Assad,http://yago-knowledge.org/resource/Syria
http://yago-knowledge.org/resource/Bronisław_Komorowski,http://yago-knowledge.org/resource/Anna_Komorowska,http://yago-knowledge.org/resource/Poland
http://yago-knowledge.org/resource/Mahinda_Rajapaksa,http://yago-knowledge.org/resource/Shiranthi_Rajapaksa,http://yago-knowledge.org/resource/Sri_Lanka
http://yago-knowledge.org/resource/Alexander_Lukashenko,http://yago-knowledge.org/resource/Galina_Lukashenko,http://yago-knowledge.org/resource/Belarus
http://yago-knowledge.org/resource/Abdullah_Gül,http://yago-knowledge.org/resource/Hayrünnisa_Gül,http://yago-knowledge.org/resource/Turkey
http://yago-knowledge.org/resource/Hun_Sen,http://yago-knowledge.org/resource/Bun_Rany,http://yago-knowledge.org/resource/Cambodia
http://yago-knowledge.org/resource/Juan_Manuel_Santos,http://yago-knowledge.org/resource/María_Clemencia_Rodríguez_Múnera,http://yago-knowledge.org/resource/Colombia
http://yago-knowledge.org/resource/Joseph_Kabila,http://yago-knowledge.org/resource/Olive_Lembe_di_Sita,http://yago-knowledge.org/resource/Democratic_Republic_of_the_Congo
http://yago-knowledge.org/resource/Rafael_Correa,http://yago-knowledge.org/resource/Anne_Malherbe_Gosselin,http://yago-knowledge.org/resource/Ecuador
http://yago-knowledge.org/resource/Goodluck_Jonathan,http://yago-knowledge.org/resource/Patience_Jonathan,http://yago-knowledge.org/resource/Nigeria
http://yago-knowledge.org/resource/Ali_Bongo_Ondimba,http://yago-knowledge.org/resource/Sylvia_Bongo_Ondimba,http://yago-knowledge.org/resource/Gabon
http://yago-knowledge.org/resource/Navin_Ramgoolam,http://yago-knowledge.org/resource/Veena_Ramgoolam,http://yago-knowledge.org/resource/Mauritius
http://yago-knowledge.org/resource/Alassane_Ouattara,http://yago-knowledge.org/resource/Dominique_Folloroux-Ouattara,http://yago-knowledge.org/resource/Ivory_Coast
http://yago-knowledge.org/resource/Jalal_Talabani,http://yago-knowledge.org/resource/Hero_Ibrahim_Ahmed,http://yago-knowledge.org/resource/Iraq
